s.entity_en,type(r),t.entity_en
kidney,ANATOMY_DISEASE,End-stage renal disease (ESRD)
kidney,ANATOMY_DISEASE,Diabetic glomerulopathy
kidney,ANATOMY_DISEASE,Type 2 diabetic nephropathy
kidney,ANATOMY_DISEASE,Diabetic Glomerulonephropathy
kidney,ANATOMY_DISEASE,Decreased kidney function
kidney,ANATOMY_DISEASE,Severe renal impairment
kidney,ANATOMY_DISEASE,Liver and kidney diseases
kidney,ANATOMY_DISEASE,Patients with impaired liver and kidney function
Blood vessel,ANATOMY_DISEASE,Type 2 diabetes
Blood vessel,ANATOMY_DISEASE,diabetes
Blood vessel,ANATOMY_DISEASE,Vascular disease
Blood vessel,ANATOMY_DISEASE,T2DM
Blood vessel,ANATOMY_DISEASE,Vascular events
Blood vessel,ANATOMY_DISEASE,Vascular disease
Blood vessel,ANATOMY_DISEASE,Macrovascular complications of diabetes
Blood vessel,ANATOMY_DISEASE,Vascular complications
Blood vessel,ANATOMY_DISEASE,Blood vessel damage
Blood vessel,ANATOMY_DISEASE,Diabetic vascular disease
Cardiovascular,ANATOMY_DISEASE,Type 2 diabetes
Cardiovascular,ANATOMY_DISEASE,diabetes
Cardiovascular,ANATOMY_DISEASE,Cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,hypertension
Cardiovascular,ANATOMY_DISEASE,Cardiovascular disease (CVD)
Cardiovascular,ANATOMY_DISEASE,CVD
Cardiovascular,ANATOMY_DISEASE,T2DM
Cardiovascular,ANATOMY_DISEASE,IFG
Cardiovascular,ANATOMY_DISEASE,IGT
Cardiovascular,ANATOMY_DISEASE,ASCVD
Cardiovascular,ANATOMY_DISEASE,Atherosclerotic cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Premature ischemic cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Cardiovascular death
Cardiovascular,ANATOMY_DISEASE,Cardiovascular endpoints
Cardiovascular,ANATOMY_DISEASE,Cardiovascular events
Cardiovascular,ANATOMY_DISEASE,Cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Atherosclerotic cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Atherosclerotic cardiovascular disease (ASCVD)
Cardiovascular,ANATOMY_DISEASE,Cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Tumor
Cardiovascular,ANATOMY_DISEASE,Composite cardiovascular endpoint
Cardiovascular,ANATOMY_DISEASE,Cardiovascular system diseases
Cardiovascular,ANATOMY_DISEASE,Cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Cardiovascular disease (CVD)
Cardiovascular,ANATOMY_DISEASE,Cardiovascular autonomic neuropathy
Cardiovascular,ANATOMY_DISEASE,Cardiovascular risk
Cardiovascular,ANATOMY_DISEASE,Cardiovascular and metabolic diseases
Cardiovascular,ANATOMY_DISEASE,Cardiovascular hazards
Cardiovascular,ANATOMY_DISEASE,Chronic cardiovascular disease
Cardiovascular,ANATOMY_DISEASE,Cardiovascular complications
Sulfonylurea secretagogues,DRUG_DISEASE,Type 2 diabetes
blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes
blood sugar,TEST_ITEMS_DISEASE,diabetes
blood sugar,TEST_ITEMS_DISEASE,Diabetic nephropathy
blood sugar,TEST_ITEMS_DISEASE,Cardiovascular disease
blood sugar,TEST_ITEMS_DISEASE,obesity
blood sugar,TEST_ITEMS_DISEASE,overweight
blood sugar,TEST_ITEMS_DISEASE,Cardiovascular and cerebrovascular diseases
blood sugar,TEST_ITEMS_DISEASE,Hypoglycemia
blood sugar,TEST_ITEMS_DISEASE,Type 1 diabetes
blood sugar,TEST_ITEMS_DISEASE,Gestational diabetes
blood sugar,TEST_ITEMS_DISEASE,DPN
blood sugar,TEST_ITEMS_DISEASE,Renal insufficiency
blood sugar,TEST_ITEMS_DISEASE,Cardiovascular disease (CVD)
blood sugar,TEST_ITEMS_DISEASE,CVD
blood sugar,TEST_ITEMS_DISEASE,T2DM
blood sugar,TEST_ITEMS_DISEASE,T1DM
blood sugar,TEST_ITEMS_DISEASE,CKD
blood sugar,TEST_ITEMS_DISEASE,GDM
blood sugar,TEST_ITEMS_DISEASE,PCOS
blood sugar,TEST_ITEMS_DISEASE,ASCVD
blood sugar,TEST_ITEMS_DISEASE,High blood sugar
blood sugar,TEST_ITEMS_DISEASE,Stress-induced hyperglycemia
blood sugar,TEST_ITEMS_DISEASE,stress-induced hyperglycemia
blood sugar,TEST_ITEMS_DISEASE,High cholesterol
blood sugar,TEST_ITEMS_DISEASE,anemia
blood sugar,TEST_ITEMS_DISEASE,Hyperbilirubinemia
blood sugar,TEST_ITEMS_DISEASE,Cerebrovascular disease
blood sugar,TEST_ITEMS_DISEASE,Hypokalemia
blood sugar,TEST_ITEMS_DISEASE,Cognitive dysfunction
blood sugar,TEST_ITEMS_DISEASE,Brain damage
blood sugar,TEST_ITEMS_DISEASE,ACS
blood sugar,TEST_ITEMS_DISEASE,DKA
blood sugar,TEST_ITEMS_DISEASE,Gestational diabetes
blood sugar,TEST_ITEMS_DISEASE,Diabetic pregnancy
blood sugar,TEST_ITEMS_DISEASE,Hypoglycemia coma
blood sugar,TEST_ITEMS_DISEASE,Diabetic foot
blood sugar,TEST_ITEMS_DISEASE,fever
blood sugar,TEST_ITEMS_DISEASE,Mental or intellectual disability
blood sugar,TEST_ITEMS_DISEASE,Hyperglycemia in pregnancy
blood sugar,TEST_ITEMS_DISEASE,DKD
blood sugar,TEST_ITEMS_DISEASE,Ketosis
blood sugar,TEST_ITEMS_DISEASE,Diabetic microangiopathy
blood sugar,TEST_ITEMS_DISEASE,No perception of hypoglycemia
blood sugar,TEST_ITEMS_DISEASE,Pre-gestational diabetes
blood sugar,TEST_ITEMS_DISEASE,Visual impairment
blood sugar,TEST_ITEMS_DISEASE,Complications of diabetes
blood sugar,TEST_ITEMS_DISEASE,Chronic kidney disease
blood sugar,TEST_ITEMS_DISEASE,Hyperuricemia
blood sugar,TEST_ITEMS_DISEASE,Diabetic microvascular complications
blood sugar,TEST_ITEMS_DISEASE,thrombus
blood sugar,TEST_ITEMS_DISEASE,Chronic complications of diabetes
blood sugar,TEST_ITEMS_DISEASE,PGDM
blood sugar,TEST_ITEMS_DISEASE,Azotemia
blood sugar,TEST_ITEMS_DISEASE,Brittle diabetes
blood sugar,TEST_ITEMS_DISEASE,Cerebral infarction
blood sugar,TEST_ITEMS_DISEASE,Organ dysfunction
blood sugar,TEST_ITEMS_DISEASE,Macrovascular and microvascular diseases
blood sugar,TEST_ITEMS_DISEASE,Blood vessel damage
blood sugar,TEST_ITEMS_DISEASE,Advanced CKD
blood sugar,TEST_ITEMS_DISEASE,CKD stage 4-5
blood sugar,TEST_ITEMS_DISEASE,Advanced chronic kidney disease
Insulin resistance,PATHOGENESIS_DISEASE,Type 2 diabetes
Insulin resistance,PATHOGENESIS_DISEASE,diabetes
Insulin resistance,PATHOGENESIS_DISEASE,obesity
Insulin resistance,PATHOGENESIS_DISEASE,CVD
Insulin resistance,PATHOGENESIS_DISEASE,T2DM
Insulin resistance,PATHOGENESIS_DISEASE,Metabolic syndrome
Insulin resistance,PATHOGENESIS_DISEASE,HUA
Insulin resistance,PATHOGENESIS_DISEASE,gout
Defective β-cell insulin secretion,PATHOGENESIS_DISEASE,Type 2 diabetes
Insulin resistance,REASON_DISEASE,Type 2 diabetes
Defective β-cell insulin secretion,PATHOGENESIS_DISEASE,Type 2 diabetes
The insulin secretion function of β cells has begun to gradually decline,PATHOGENESIS_DISEASE,diabetes
Defective insulin secretion,PATHOGENESIS_DISEASE,Type 2 diabetes
Increased fasting blood sugar levels,PATHOGENESIS_DISEASE,Type 2 diabetes
The decline in insulin secretion is more significant than the decline in insulin sensitivity,PATHOGENESIS_DISEASE,Type 2 diabetes
Poorer insulin secretion,PATHOGENESIS_DISEASE,Type 2 diabetes
Abnormal insulin secretion in β cells,PATHOGENESIS_DISEASE,Type 2 diabetes
Sulfonylureas,DRUG_DISEASE,Type 2 diabetes
Sulfonylureas,DRUG_DISEASE,T2DM
Sulfonylureas,DRUG_DISEASE,Patients with impaired liver and kidney function
Meglitinides,DRUG_DISEASE,T2DM
Short-acting secretagogues,DRUG_DISEASE,T2DM
Glipizide,DRUG_DISEASE,Type 2 diabetes
Glipizide,DRUG_DISEASE,Coronary heart disease
Glipizide,DRUG_DISEASE,Renal insufficiency
Glipizide,DRUG_DISEASE,T2DM
Glipizide,DRUG_DISEASE,Chronic kidney disease
Glipizide,DRUG_DISEASE,CKD stage 1-2
Glipizide,DRUG_DISEASE,CKD stage 1-3
Gliquidone,DRUG_DISEASE,Type 2 diabetes
Gliquidone,DRUG_DISEASE,diabetes
Gliquidone,DRUG_DISEASE,Diabetic nephropathy
Gliquidone,DRUG_DISEASE,Moderate renal insufficiency
Gliquidone,DRUG_DISEASE,Renal insufficiency
Gliquidone,DRUG_DISEASE,T2DM
Gliquidone,DRUG_DISEASE,CKD
Gliquidone,DRUG_DISEASE,Atherosclerosis
Gliquidone,DRUG_DISEASE,Chronic kidney disease
Gliquidone,DRUG_DISEASE,Kidney disease
Gliquidone,DRUG_DISEASE,CKD stage 1-3
Glimepiride,DRUG_DISEASE,Type 2 diabetes
Glimepiride,DRUG_DISEASE,Renal insufficiency
Glimepiride,DRUG_DISEASE,T2DM
Glimepiride,DRUG_DISEASE,CKD
Glimepiride,DRUG_DISEASE,Chronic kidney disease
Glimepiride,DRUG_DISEASE,CKD stage 1-2
Glimepiride,DRUG_DISEASE,CKD stage 3-4
Glyburide,DRUG_DISEASE,Type 2 diabetes
Glyburide,DRUG_DISEASE,diabetes
Glyburide,DRUG_DISEASE,T2DM
Glyburide,DRUG_DISEASE,CKD
Glyburide,DRUG_DISEASE,Chronic kidney disease
Glyburide,DRUG_DISEASE,Patients with T2DM
Glyburide,DRUG_DISEASE,CKD stage 1-2
Gliclazide,DRUG_DISEASE,Type 2 diabetes
Gliclazide,DRUG_DISEASE,Renal insufficiency
Gliclazide,DRUG_DISEASE,T2DM
Gliclazide,DRUG_DISEASE,Chronic kidney disease
Gliclazide,DRUG_DISEASE,CKD stage 1-2
Gliclazide,DRUG_DISEASE,CKD stage 1-3
Glipizide Extended Release Tablets,DRUG_DISEASE,T2DM
Gliclazide extended-release tablets,DRUG_DISEASE,Type 2 diabetes
Gliclazide extended-release tablets,DRUG_DISEASE,diabetes
Gliclazide extended-release tablets,DRUG_DISEASE,T2DM
Gliclazide extended-release tablets,DRUG_DISEASE,Patients with T2DM
Meglitinides,DRUG_DISEASE,Type 2 diabetes
Meglitinides,DRUG_DISEASE,diabetes
Repaglinide,DRUG_DISEASE,Type 2 diabetes
Repaglinide,DRUG_DISEASE,Moderate renal insufficiency
Repaglinide,DRUG_DISEASE,Renal insufficiency
Repaglinide,DRUG_DISEASE,T2DM
Repaglinide,DRUG_DISEASE,CKD
Repaglinide,DRUG_DISEASE,Renal impairment
Repaglinide,DRUG_DISEASE,Chronic kidney disease
Repaglinide,DRUG_DISEASE,"Normal, mild, moderate, severe, and extremely severe renal impairment"
Repaglinide,DRUG_DISEASE,CKD stages 1 to 5
Repaglinide,DRUG_DISEASE,CKD stage 3 and 4
Nateglinide,DRUG_DISEASE,Type 2 diabetes
Nateglinide,DRUG_DISEASE,diabetes
Nateglinide,DRUG_DISEASE,Renal insufficiency
Nateglinide,DRUG_DISEASE,T2DM
Nateglinide,DRUG_DISEASE,Renal impairment
Nateglinide,DRUG_DISEASE,IGT
Nateglinide,DRUG_DISEASE,CKD stage 4
Nateglinide,DRUG_DISEASE,CKD stage 1-3a
insulin,DRUG_DISEASE,Type 2 diabetes
insulin,DRUG_DISEASE,diabetes
insulin,DRUG_DISEASE,obesity
insulin,DRUG_DISEASE,overweight
insulin,DRUG_DISEASE,Stroke
insulin,DRUG_DISEASE,Hypoglycemia
insulin,DRUG_DISEASE,Type 1 diabetes
insulin,DRUG_DISEASE,Diabetic ketoacidosis
insulin,DRUG_DISEASE,Moderate renal insufficiency
insulin,DRUG_DISEASE,Renal insufficiency
insulin,DRUG_DISEASE,T2DM
insulin,DRUG_DISEASE,T1DM
insulin,DRUG_DISEASE,GDM
insulin,DRUG_DISEASE,High blood sugar
insulin,DRUG_DISEASE,Stress-induced hyperglycemia
insulin,DRUG_DISEASE,ACS
insulin,DRUG_DISEASE,DKA
insulin,DRUG_DISEASE,Gestational diabetes
insulin,DRUG_DISEASE,Diabetic foot
insulin,DRUG_DISEASE,fever
insulin,DRUG_DISEASE,Disorders of glucose metabolism
insulin,DRUG_DISEASE,"Disturbance of water, electrolyte and acid-base balance"
insulin,DRUG_DISEASE,Hypertonic state
insulin,DRUG_DISEASE,DR
insulin,DRUG_DISEASE,Complications of diabetes
insulin,DRUG_DISEASE,Fasting high blood sugar
insulin,DRUG_DISEASE,Type 2 diabetes
insulin,DRUG_DISEASE,PGDM
insulin,DRUG_DISEASE,Microaneurysm
insulin,DRUG_DISEASE,2. Diabetes
insulin,DRUG_DISEASE,Metabolic abnormalities
insulin,DRUG_DISEASE,Type 2 and type 1 diabetes
insulin,DRUG_DISEASE,Metabolic complications
insulin,DRUG_DISEASE,Type 1 and type 2 diabetes
Fasting blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes
Fasting blood sugar,TEST_ITEMS_DISEASE,diabetes
Fasting blood sugar,TEST_ITEMS_DISEASE,Diabetic nephropathy
Fasting blood sugar,TEST_ITEMS_DISEASE,overweight
Fasting blood sugar,TEST_ITEMS_DISEASE,Peripheral neuropathy
Fasting blood sugar,TEST_ITEMS_DISEASE,T2DM
Fasting blood sugar,TEST_ITEMS_DISEASE,PCOS
Fasting blood sugar,TEST_ITEMS_DISEASE,Hypertriglyceridemia
Fasting blood sugar,TEST_ITEMS_DISEASE,Chronic complications of diabetes
Short-acting sulfonylureas,DRUG_DISEASE,Type 2 diabetes
Postprandial blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes
Postprandial blood sugar,TEST_ITEMS_DISEASE,diabetes
Postprandial blood sugar,TEST_ITEMS_DISEASE,T2DM
Postprandial blood sugar,TEST_ITEMS_DISEASE,High blood sugar
Postprandial blood sugar,TEST_ITEMS_DISEASE,Giant baby
Postprandial blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes mellitus (T2DM)
Postprandial blood sugar,TEST_ITEMS_DISEASE,Chronic complications of diabetes
Severe hypoglycemia,ADE_DRUG,Glimepiride
Severe hypoglycemia,ADE_DRUG,Gliclazide extended-release tablets
Severe hypoglycemia,ADE_DRUG,Metformin
Severe hypoglycemia,ADE_DRUG,GLP-1 receptor agonists
Severe hypoglycemia,ADE_DRUG,Insulin glargine
Hypoglycemia,ADE_DRUG,Insulin secretagogues
Hypoglycemia,ADE_DRUG,Sulfonylurea secretagogues
Hypoglycemia,ADE_DRUG,Sulfonylureas
Hypoglycemia,ADE_DRUG,Meglitinides
Hypoglycemia,ADE_DRUG,Glipizide
Hypoglycemia,ADE_DRUG,Gliquidone
Hypoglycemia,ADE_DRUG,Glimepiride
Hypoglycemia,ADE_DRUG,Glyburide
Hypoglycemia,ADE_DRUG,Gliclazide
Hypoglycemia,ADE_DRUG,Glipizide Extended Release Tablets
Hypoglycemia,ADE_DRUG,Gliclazide extended-release tablets
Hypoglycemia,ADE_DRUG,Meglitinides
Hypoglycemia,ADE_DRUG,Repaglinide
Hypoglycemia,ADE_DRUG,Nateglinide
Hypoglycemia,ADE_DRUG,insulin
Hypoglycemia,ADE_DRUG,Medium- and long-acting sulfonylurea secretagogues
Hypoglycemia,ADE_DRUG,Chlorpropamide
Hypoglycemia,ADE_DRUG,Sulfonylureas
Hypoglycemia,ADE_DRUG,Metformin
Hypoglycemia,ADE_DRUG,Rosiglitazone
Hypoglycemia,ADE_DRUG,Tolbutamide
Hypoglycemia,ADE_DRUG,α-Glucosidase inhibitors
Hypoglycemia,ADE_DRUG,Biguanides
Hypoglycemia,ADE_DRUG,GLP-1 receptor agonists
Hypoglycemia,ADE_DRUG,DPP-4 inhibitors
Hypoglycemia,ADE_DRUG,CLP-1 receptor agonists
Hypoglycemia,ADE_DRUG,Liraglutide
Hypoglycemia,ADE_DRUG,Basal insulin
Hypoglycemia,ADE_DRUG,Acarbose
Hypoglycemia,ADE_DRUG,Sitagliptin
Hypoglycemia,ADE_DRUG,Linagliptin
Hypoglycemia,ADE_DRUG,Insulin glargine
Hypoglycemia,ADE_DRUG,Meglitinides
Hypoglycemia,ADE_DRUG,Meglitinides oral hypoglycemic drugs
Hypoglycemia,ADE_DRUG,Regular insulin
Hypoglycemia,ADE_DRUG,Rapid-acting insulin
Hypoglycemia,ADE_DRUG,S Us
Hypoglycemia,ADE_DRUG,Pioglitazone
Hypoglycemia,ADE_DRUG,Mealtime insulin
Hypoglycemia,ADE_DRUG,TZD
Hypoglycemia,ADE_DRUG,SGLT-2 inhibitors
Hypoglycemia,ADE_DRUG,a-Glucosidase inhibitors
Hypoglycemia,ADE_DRUG,Rapid-acting insulin analogs
Hypoglycemia,ADE_DRUG,Insulin analogs
Hypoglycemia,ADE_DRUG,Premixed insulin
Hypoglycemia,ADE_DRUG,Short-acting human insulin
Hypoglycemia,ADE_DRUG,S GLT-2 inhibitors
Hypoglycemia,ADE_DRUG,Secretagogues
Hypoglycemia,ADE_DRUG,Human insulin
Hypoglycemia,ADE_DRUG,Pancreatic Islets
Hypoglycemia,ADE_DRUG,DPP-4 enzyme inhibitors
Hypoglycemia,ADE_DRUG,SGLT2i
Hypoglycemia,ADE_DRUG,Dapagliflozin
Hypoglycemia,ADE_DRUG,Glimaquine
Hypoglycemia,ADE_DRUG,NPH
Hypoglycemia,ADE_DRUG,Long-acting insulin
Hypoglycemia,ADE_DRUG,Dipeptidyl peptidase-4 (DPP-4) inhibitors
Hypoglycemia,ADE_DRUG,Luseogliflozin
Hypoglycemia,ADE_DRUG,Glibenclamide
Hypoglycemia,ADE_DRUG,Extended release (gliclazide)
Hypoglycemia,ADE_DRUG,Controlled release (glipizide)
Hypoglycemia,ADE_DRUG,First-generation sulfonylureas
Hypoglycemia,ADE_DRUG,Tolazamide
Hypoglycemia,ADE_DRUG,Meglitinides
Hypoglycemia,ADE_DRUG,Non-sulfonylurea insulin secretagogues
Hypoglycemia,ADE_DRUG,Sulfonylureas
Hypoglycemia,ADE_DISEASE,Diabetic nephropathy
Hypoglycemia,ADE_DISEASE,Renal insufficiency
24h blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes
Medium- and long-acting sulfonylurea secretagogues,DRUG_DISEASE,Type 2 diabetes
Fasting and postprandial blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes
Multiple times a day,FREQUENCY_DRUG,Meglitinides
Multiple times a day,FREQUENCY_DRUG,Basal insulin
Multiple times a day,FREQUENCY_DRUG,Mealtime insulin
Multiple times a day,FREQUENCY_DRUG,Premixed insulin
Multiple times a day,FREQUENCY_DRUG,Basal-meal insulin
Microvascular,ANATOMY_DISEASE,Type 2 diabetes
Microvascular,ANATOMY_DISEASE,diabetes
Microvascular,ANATOMY_DISEASE,Macrovascular complications
Microvascular,ANATOMY_DISEASE,Hypoglycemia
Microvascular,ANATOMY_DISEASE,Type 1 diabetes
Microvascular,ANATOMY_DISEASE,Microvascular events
Microvascular,ANATOMY_DISEASE,T2DM
Microvascular,ANATOMY_DISEASE,Type 2 diabetes mellitus (T2DM)
Microvascular,ANATOMY_DISEASE,Macrovascular and microvascular events
Microvascular,ANATOMY_DISEASE,Diabetic microangiopathy
Microvascular,ANATOMY_DISEASE,Diabetic microvascular complications
Microvascular,ANATOMY_DISEASE,Microvascular complications
Microvascular,ANATOMY_DISEASE,Microangiopathy
Microvascular,ANATOMY_DISEASE,Microvascular and macrovascular diseases
Microvascular,ANATOMY_DISEASE,Microaneurysm
Microvascular,ANATOMY_DISEASE,Diabetic microangiopathy
Microvascular,ANATOMY_DISEASE,Microangiopathy
Microvascular,ANATOMY_DISEASE,Macrovascular and microvascular diseases
Microvascular,ANATOMY_DISEASE,Type 1 diabetes microangiopathy
Microvascular,ANATOMY_DISEASE,Diabetic microangiopathy
